                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2473,                 1.0146,                 1.1098,                0.94774,                0.86725,                0.98735,                 0.6668,                 1.1886,                0.75818,                 1.0806,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1872,                0.99552,                 1.0795,                0.93151,                0.90354,                  0.977,                0.65709,                 1.2073,                0.83174,                 1.0986,               0.000467,               0.000467,               0.000467
                     37,                 1.1386,                 1.2963,                 1.0435,                0.96971,                0.93591,                0.97771,                0.70836,                 1.1936,                0.80813,                 1.1053,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1358,                0.91184,                 1.0698,                0.83095,                0.92857,                0.94192,                0.63805,                 1.1912,                0.77364,                 1.1135,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2033,                  0.955,                 1.0872,                0.96689,                0.94286,                0.98288,                 0.6766,                 1.2261,                0.81327,                 1.1276,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1594,                0.93906,                 1.0321,                0.93636,                0.91869,                0.97567,                0.68936,                  1.199,                0.79313,                 1.1286,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2049,                0.97651,                 1.1146,                0.94844,                0.93569,                 0.9795,                0.69402,                 1.1711,                0.74094,                 1.0907,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2145,                 1.0154,                 1.1436,                0.96243,                0.91892,                0.97613,                0.68474,                 1.1791,                0.75706,                  1.101,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1841,                0.87787,                  1.128,                0.96067,                0.92857,                0.97194,                0.70457,                 1.1651,                0.72618,                 1.0899,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.1739,                0.91691,                 1.0815,                0.94248,                0.95805,                0.97597,                 0.7393,                  1.171,                0.69767,                 1.0839,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.1026,                0.87879,                 1.0185,                0.96349,                0.96778,                0.98509,                0.70421,                 1.1673,                0.67992,                 1.0932,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1184,                0.82889,                 1.0513,                0.95113,                 0.9671,                0.98678,                0.66999,                 1.1876,                0.68027,                 1.0833,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1044,                0.82412,                 1.0609,                0.95249,                0.94917,                0.97964,                0.71541,                 1.1526,                0.64875,                 1.0582,             0.00015576,             0.00015576,             0.00015576
                     48,                  1.022,                0.82417,                0.98058,                0.96838,                0.94286,                0.99043,                0.72231,                 1.1511,                0.63947,                 1.0603,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0656,                0.79696,                 1.0178,                0.95338,                0.94939,                0.98202,                0.68272,                 1.1535,                0.65525,                   1.07,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1393,                0.86552,                 1.0844,                0.95563,                 0.9535,                0.98003,                0.68417,                 1.1707,                0.67307,                 1.0822,             7.0878e-05,             7.0878e-05,             7.0878e-05
